id_casteller,type_casteller,active,sex,height
14553,Falques,newbie,female,-18.0
2008,Falques,yes,female,-16.0
5579,Falques,yes,female,-16.0
13431,Falques,newbie,female,-16.0
2056,Altres,no,female,-13.0
2070,Falques,yes,female,-13.0
2163,Falques,no,female,-13.0
3896,Falques,no,female,-13.0
11598,Falques,no,female,-13.0
2139,Falques,no,female,-12.0
3936,Altres,yes,female,-12.0
12442,Falques,newbie,female,-12.0
13446,Falques,newbie,female,-12.0
13989,Falques,newbie,female,-12.0
15216,Falques,newbie,female,-12.0
15217,Falques,newbie,female,-12.0
2215,Falques,yes,female,-11.0
3914,Falques,yes,female,-11.0
3915,Falques,yes,female,-11.0
11584,Falques,newbie,female,-11.0
12441,Falques,newbie,female,-11.0
1998,Falques,no,female,-10.0
2053,Falques,no,female,-10.0
2101,Altres,no,female,-10.0
2193,Falques,yes,female,-10.0
3932,Falques,yes,female,-10.0
5078,Falques,yes,female,-10.0
9417,Falques,no,female,-10.0
9743,Altres,no,female,-10.0
10230,Crosses,yes,female,-10.0
12438,Falques,newbie,female,-10.0
13444,Falques,newbie,female,-10.0
2032,Falques,yes,female,-9.0
2115,Crosses,yes,female,-9.0
2199,Falques,no,female,-9.0
3903,Falques,no,female,-9.0
3920,Falques,no,female,-9.0
5243,Falques,no,female,-9.0
5244,Altres,no,female,-9.0
5268,Falques,no,female,-9.0
5316,Falques,yes,female,-9.0
5320,Falques,no,female,-9.0
9741,Crosses,no,female,-9.0
11622,Falques,newbie,female,-9.0
11624,Falques,newbie,female,-9.0
12852,Falques,newbie,female,-9.0
12966,Falques,newbie,female,-9.0
2037,Crosses,yes,female,-8.0
2095,Crosses,no,female,-8.0
2116,Crosses,no,female,-8.0
2151,Crosses,yes,female,-8.0
2171,Falques,no,female,-8.0
3938,Altres,no,female,-8.0
5089,Crosses,yes,female,-8.0
5269,Crosses,yes,female,-8.0
5275,Crosses,no,female,-8.0
5409,Altres,no,male,-8.0
5414,Crosses,no,female,-8.0
1996,Crosses,no,female,-7.0
2021,Crosses,no,female,-7.0
2104,Crosses,yes,female,-7.0
2112,Crosses,no,female,-7.0
2121,Altres,no,female,-7.0
2218,Crosses,no,female,-7.0
3901,Crosses,yes,female,-7.0
3907,Crosses,yes,female,-7.0
3916,Crosses,yes,female,-7.0
3917,Crosses,no,female,-7.0
5085,Crosses,yes,female,-7.0
5097,Crosses,yes,female,-7.0
8635,Crosses,no,female,-7.0
9678,Crosses,no,female,-7.0
12440,Crosses,no,female,-7.0
12844,Crosses,newbie,female,-7.0
14566,Crosses,newbie,female,-7.0
14570,Crosses,newbie,male,-7.0
2043,Altres,yes,female,-6.0
2094,Crosses,no,female,-6.0
